,asr_transcript,uniqueId
27,Decrease the heating in the bathroom ,7NqqnAOPVVSKnxyv-0ae8bc30463011e9bc6555b32b211b66
28,Decrease the volume ,7NqqnAOPVVSKnxyv-0b3a25a0463211e9bc6555b32b211b66
29,Resumed ,7NqqnAOPVVSKnxyv-0b74b310463111e9bc6555b32b211b66
30,Decrease the heating in the water ,7NqqnAOPVVSKnxyv-0b9659f0463311e9bc6555b32b211b66
31,Turn on the bathroom lights ,7NqqnAOPVVSKnxyv-0c01c6f0462811e9bc6555b32b211b66
32,Turn it up ,7NqqnAOPVVSKnxyv-0c522cb0462f11e9bc6555b32b211b66
33,Bathroom he'd doubt ,7NqqnAOPVVSKnxyv-0ce2b770463011e9bc6555b32b211b66
34,Decrease sound levels ,7NqqnAOPVVSKnxyv-0d564ee0463211e9bc6555b32b211b66
35,Volume down ,7NqqnAOPVVSKnxyv-0d6a4180463111e9bc6555b32b211b66
36,Washroom he down ,7NqqnAOPVVSKnxyv-0d735750463311e9bc6555b32b211b66
37,Turned the bathroom lights on ,7NqqnAOPVVSKnxyv-0e198360462811e9bc6555b32b211b66
38,May get louder ,7NqqnAOPVVSKnxyv-0e256610462f11e9bc6555b32b211b66
39,Pause music ,7NqqnAOPVVSKnxyv-0ecbc2c0463011e9bc6555b32b211b66
40,Too loud ,7NqqnAOPVVSKnxyv-0f29fd70463211e9bc6555b32b211b66
41,Turn the lights on ,7NqqnAOPVVSKnxyv-0f8dbdc0463111e9bc6555b32b211b66
42,Turn on the bathroom temperature ,7NqqnAOPVVSKnxyv-0fbc5cf0463311e9bc6555b32b211b66
43,Louder ,7NqqnAOPVVSKnxyv-0fda6910462f11e9bc6555b32b211b66
44,Switch on the bathroom lights ,7NqqnAOPVVSKnxyv-10456410462811e9bc6555b32b211b66
45,Stop music ,7NqqnAOPVVSKnxyv-10c325f0463011e9bc6555b32b211b66
46,That's too loud ,7NqqnAOPVVSKnxyv-1115a0d0463211e9bc6555b32b211b66
47,Switch on the lives ,7NqqnAOPVVSKnxyv-11924050463111e9bc6555b32b211b66
48,Volume max ,7NqqnAOPVVSKnxyv-11b62df0462f11e9bc6555b32b211b66
49,Turn down the temperature in the bathroom ,7NqqnAOPVVSKnxyv-12103800463311e9bc6555b32b211b66
50,Lights on the bathroom ,7NqqnAOPVVSKnxyv-12468b40462811e9bc6555b32b211b66
51,Stop ,7NqqnAOPVVSKnxyv-127e9190463011e9bc6555b32b211b66
52,Far too loud ,7NqqnAOPVVSKnxyv-12e334e0463211e9bc6555b32b211b66
53,Louder please ,7NqqnAOPVVSKnxyv-1380dbd0462f11e9bc6555b32b211b66
54,Lights on ,7NqqnAOPVVSKnxyv-13a93970463111e9bc6555b32b211b66
55,Turn down the heat in the bathroom ,7NqqnAOPVVSKnxyv-14197580463311e9bc6555b32b211b66
56,Bathroom lights on ,7NqqnAOPVVSKnxyv-142906e0462811e9bc6555b32b211b66
57,Play music ,7NqqnAOPVVSKnxyv-1455c290463011e9bc6555b32b211b66
58,Make a quieter ,7NqqnAOPVVSKnxyv-14cc4030463211e9bc6555b32b211b66
59,Increase the volume ,7NqqnAOPVVSKnxyv-15677620462f11e9bc6555b32b211b66
60,Switch off the whites ,7NqqnAOPVVSKnxyv-1595ee40463111e9bc6555b32b211b66
61,Switched the lights off ,7NqqnAOPVVSKnxyv-1624fdf0462811e9bc6555b32b211b66
62,Resume music ,7NqqnAOPVVSKnxyv-164584a0463011e9bc6555b32b211b66
63,Turn the he down in the bathroom ,7NqqnAOPVVSKnxyv-1667ab40463311e9bc6555b32b211b66
64,It's too loud turn it out ,7NqqnAOPVVSKnxyv-16c5ed50463211e9bc6555b32b211b66
65,Increase the sound volume ,7NqqnAOPVVSKnxyv-178218c0462f11e9bc6555b32b211b66
66,Turned the lights off ,7NqqnAOPVVSKnxyv-17917020463111e9bc6555b32b211b66
67,Turn off the kitchen lights ,7NqqnAOPVVSKnxyv-1857bc70462811e9bc6555b32b211b66
68,Bring me the newspaper ,7NqqnAOPVVSKnxyv-18583800463011e9bc6555b32b211b66
69,Decrease the temperature in the bathroom ,7NqqnAOPVVSKnxyv-1896c040463311e9bc6555b32b211b66
70,Lights off ,7NqqnAOPVVSKnxyv-194e8970463111e9bc6555b32b211b66
71,It's too loud turned the volume now ,7NqqnAOPVVSKnxyv-195f35d0463211e9bc6555b32b211b66
72,I need volume ,7NqqnAOPVVSKnxyv-197eac10462f11e9bc6555b32b211b66
73,Give me the newspaper ,7NqqnAOPVVSKnxyv-1a45b020463011e9bc6555b32b211b66
74,Tonight's off in the kitchen ,7NqqnAOPVVSKnxyv-1a801ab0462811e9bc6555b32b211b66
75,Decrease the heeding the bathroom ,7NqqnAOPVVSKnxyv-1ab47020463311e9bc6555b32b211b66
76,Volume up ,7NqqnAOPVVSKnxyv-1b409570463111e9bc6555b32b211b66
77,Increase the temperature ,7NqqnAOPVVSKnxyv-1b55aea0463211e9bc6555b32b211b66
78,Increase the sound ,7NqqnAOPVVSKnxyv-1b628740462f11e9bc6555b32b211b66
79,Bring the newspaper ,7NqqnAOPVVSKnxyv-1c248240463011e9bc6555b32b211b66
80,Bathroom he down ,7NqqnAOPVVSKnxyv-1cac4880463311e9bc6555b32b211b66
81,Switched off the lights in the kitchen ,7NqqnAOPVVSKnxyv-1cdca850462811e9bc6555b32b211b66
82,Increase the heating ,7NqqnAOPVVSKnxyv-1d1eaed0463211e9bc6555b32b211b66
83,Louder foam ,7NqqnAOPVVSKnxyv-1d298ba0462f11e9bc6555b32b211b66
84,Turn up the volume ,7NqqnAOPVVSKnxyv-1d31b710463111e9bc6555b32b211b66
85,Paused music ,7NqqnAOPVVSKnxyv-1e760c00463311e9bc6555b32b211b66
86,I can't hear that ,7NqqnAOPVVSKnxyv-1ef3eb60462f11e9bc6555b32b211b66
87,Switch lights off in the kitchen ,7NqqnAOPVVSKnxyv-1f3f5070462811e9bc6555b32b211b66
88,Could you increase the heating ,7NqqnAOPVVSKnxyv-1f3fba10463211e9bc6555b32b211b66
89,Turned the volume up ,7NqqnAOPVVSKnxyv-1f69f3d0463111e9bc6555b32b211b66
90,Stop music ,7NqqnAOPVVSKnxyv-20630ef0463311e9bc6555b32b211b66
91,Lights off in the kitchen ,7NqqnAOPVVSKnxyv-2158ba90462811e9bc6555b32b211b66
92,Could you increase the heeding please ,7NqqnAOPVVSKnxyv-21646ed0463211e9bc6555b32b211b66
93,Make the music louder ,7NqqnAOPVVSKnxyv-21cd5f40463111e9bc6555b32b211b66
94,Stop ,7NqqnAOPVVSKnxyv-2218fc50463311e9bc6555b32b211b66
95,To quiet ,7NqqnAOPVVSKnxyv-222702e0462f11e9bc6555b32b211b66
96,Kitchen lights off ,7NqqnAOPVVSKnxyv-232f2840462811e9bc6555b32b211b66
97,Make it harder ,7NqqnAOPVVSKnxyv-2337a830463211e9bc6555b32b211b66
98,Turned on the volume ,7NqqnAOPVVSKnxyv-23deb310463111e9bc6555b32b211b66
99,Play music ,7NqqnAOPVVSKnxyv-23ede360463311e9bc6555b32b211b66
100,That's too quiet ,7NqqnAOPVVSKnxyv-243ebf50462f11e9bc6555b32b211b66
101,More hee ,7NqqnAOPVVSKnxyv-24f4e890463211e9bc6555b32b211b66
102,Turn off the listener bedroom ,7NqqnAOPVVSKnxyv-25631f40462811e9bc6555b32b211b66
103,Resume music ,7NqqnAOPVVSKnxyv-25d40880463311e9bc6555b32b211b66
104,Turned the volume doubt ,7NqqnAOPVVSKnxyv-25fe37b0463111e9bc6555b32b211b66
105,Far too quiet ,7NqqnAOPVVSKnxyv-262b7420462f11e9bc6555b32b211b66
106,He dot ,7NqqnAOPVVSKnxyv-26b8dfb0463211e9bc6555b32b211b66
107,Turned the bedroom lights off ,7NqqnAOPVVSKnxyv-2771b3f0462811e9bc6555b32b211b66
108,For me the newspaper ,7NqqnAOPVVSKnxyv-27c9be00463311e9bc6555b32b211b66
109,Turn the sound up ,7NqqnAOPVVSKnxyv-28167b40462f11e9bc6555b32b211b66
110,Make the music softer ,7NqqnAOPVVSKnxyv-2829ca40463111e9bc6555b32b211b66
111,Turn out the temperature in the kitchen ,7NqqnAOPVVSKnxyv-28f932c0463211e9bc6555b32b211b66
112,Switched off the lights the bedroom ,7NqqnAOPVVSKnxyv-29bab990462811e9bc6555b32b211b66
113,Give me the newspaper ,7NqqnAOPVVSKnxyv-29dc2340463311e9bc6555b32b211b66
114,Turn out the temperature ,7NqqnAOPVVSKnxyv-2a6a4460463111e9bc6555b32b211b66
115,I need to hear this increased in volume ,7NqqnAOPVVSKnxyv-2b38a2d0462f11e9bc6555b32b211b66
116,Turn the kitchen temperature up ,7NqqnAOPVVSKnxyv-2b3910a0463211e9bc6555b32b211b66
117,Bring the newspaper ,7NqqnAOPVVSKnxyv-2bb242d0463311e9bc6555b32b211b66
118,Switched the bedroom lights off ,7NqqnAOPVVSKnxyv-2bd61f80462811e9bc6555b32b211b66
119,Turned the temperature up ,7NqqnAOPVVSKnxyv-2cc7e370463111e9bc6555b32b211b66
120,Increase the temperature in the kitchen ,7NqqnAOPVVSKnxyv-2d5c17b0463211e9bc6555b32b211b66
121,Bring newspaper ,7NqqnAOPVVSKnxyv-2d663460463311e9bc6555b32b211b66
122,Lights off in the bedroom ,7NqqnAOPVVSKnxyv-2de10ab0462811e9bc6555b32b211b66
123,I couldn't hear anything turn up the volume ,7NqqnAOPVVSKnxyv-2e5c9f20462f11e9bc6555b32b211b66
124,Turn up the heat ,7NqqnAOPVVSKnxyv-2ee1e9d0463111e9bc6555b32b211b66
125,Go get the newspaper ,7NqqnAOPVVSKnxyv-2f669840463311e9bc6555b32b211b66
126,Increase the heating in the kitchen ,7NqqnAOPVVSKnxyv-2f68b090463211e9bc6555b32b211b66
127,Bedroom lights off ,7NqqnAOPVVSKnxyv-2fd95840462811e9bc6555b32b211b66
128,Turned the heat up ,7NqqnAOPVVSKnxyv-3100ab20463111e9bc6555b32b211b66
129,Video sound as chulo turn up the volume ,7NqqnAOPVVSKnxyv-3122eb10462f11e9bc6555b32b211b66
130,Fetch the newspaper ,7NqqnAOPVVSKnxyv-313f4fe0463311e9bc6555b32b211b66
131,Chirruped the heat in the kitchen ,7NqqnAOPVVSKnxyv-3157af50463211e9bc6555b32b211b66
132,Turn off the washroom lights ,7NqqnAOPVVSKnxyv-3216c520462811e9bc6555b32b211b66
133,Reminiscent juice ,7NqqnAOPVVSKnxyv-33108d70463311e9bc6555b32b211b66
134,Decreased volume ,7NqqnAOPVVSKnxyv-33234ef0462f11e9bc6555b32b211b66
135,Turned down the temperature ,7NqqnAOPVVSKnxyv-333ba700463111e9bc6555b32b211b66
136,During the heat up in the kitchen ,7NqqnAOPVVSKnxyv-334ec460463211e9bc6555b32b211b66
137,Give me some juice ,7NqqnAOPVVSKnxyv-3503d1f0463311e9bc6555b32b211b66
138,Kitty here ,7NqqnAOPVVSKnxyv-3520ec50463211e9bc6555b32b211b66
139,Turn volume down ,7NqqnAOPVVSKnxyv-355f0e20462f11e9bc6555b32b211b66
140,Turned the temperature down ,7NqqnAOPVVSKnxyv-35b580a0463111e9bc6555b32b211b66
141,Bring some jeers ,7NqqnAOPVVSKnxyv-36ee3cd0463311e9bc6555b32b211b66
142,Turned sound down ,7NqqnAOPVVSKnxyv-373ecaa0462f11e9bc6555b32b211b66
143,Turn out the temperature in the bedroom ,7NqqnAOPVVSKnxyv-3770f6d0463211e9bc6555b32b211b66
144,Turned down the heat ,7NqqnAOPVVSKnxyv-37e66a60463111e9bc6555b32b211b66
145,Bring juice ,7NqqnAOPVVSKnxyv-38dd62a0463311e9bc6555b32b211b66
146,Decrease adrea volume ,7NqqnAOPVVSKnxyv-394fd050462f11e9bc6555b32b211b66
147,Turn the temperature in the bedroom up ,7NqqnAOPVVSKnxyv-39babfc0463211e9bc6555b32b211b66
148,Turned the heat doubt ,7NqqnAOPVVSKnxyv-39f96be0463111e9bc6555b32b211b66
149,Go get me some juice ,7NqqnAOPVVSKnxyv-3ac6e320463311e9bc6555b32b211b66
150,Reduce already a volume ,7NqqnAOPVVSKnxyv-3b685010462f11e9bc6555b32b211b66
151,You're not the bedroom heat ,7NqqnAOPVVSKnxyv-3bbdbbb0463211e9bc6555b32b211b66
152,Turn off the music ,7NqqnAOPVVSKnxyv-3c2fd3e0463111e9bc6555b32b211b66
153,Bring me my socks ,7NqqnAOPVVSKnxyv-3cc7e340463311e9bc6555b32b211b66
154,Turn down ,7NqqnAOPVVSKnxyv-3d6c5d70462f11e9bc6555b32b211b66
155,Turn the bedroom heat up ,7NqqnAOPVVSKnxyv-3dcc5060463211e9bc6555b32b211b66
156,Stop the music ,7NqqnAOPVVSKnxyv-3e21b8d0463111e9bc6555b32b211b66
157,Give me my socks ,7NqqnAOPVVSKnxyv-3e932d60463311e9bc6555b32b211b66
158,Quire ,7NqqnAOPVVSKnxyv-3f438e70462f11e9bc6555b32b211b66
159,Bedroom heat up ,7NqqnAOPVVSKnxyv-3f7bae10463211e9bc6555b32b211b66
160,Play ,7NqqnAOPVVSKnxyv-4006f390463111e9bc6555b32b211b66
161,Bring socks ,7NqqnAOPVVSKnxyv-403df730463311e9bc6555b32b211b66
162,Volume mute ,7NqqnAOPVVSKnxyv-4120d9f0462f11e9bc6555b32b211b66
163,Increased its aperture in the bedroom ,7NqqnAOPVVSKnxyv-41934370463211e9bc6555b32b211b66
164,Bring my socks ,7NqqnAOPVVSKnxyv-4202ffc0463311e9bc6555b32b211b66
165,Put on the music ,7NqqnAOPVVSKnxyv-42242e40463111e9bc6555b32b211b66
166,Lower the lion ,7NqqnAOPVVSKnxyv-431c82e0462f11e9bc6555b32b211b66
167,Increase the heating in the bedroom ,7NqqnAOPVVSKnxyv-43ac8680463211e9bc6555b32b211b66
168,You'll give me my socks ,7NqqnAOPVVSKnxyv-43efb490463311e9bc6555b32b211b66
169,Volume lower ,7NqqnAOPVVSKnxyv-44f4c550462f11e9bc6555b32b211b66
170,Play the music ,7NqqnAOPVVSKnxyv-45124d80463111e9bc6555b32b211b66
171,Fetch my socks ,7NqqnAOPVVSKnxyv-45e08810463311e9bc6555b32b211b66
172,Tariff the washroom temperature ,7NqqnAOPVVSKnxyv-45f9f8f0463211e9bc6555b32b211b66
173,Decrease the volume ,7NqqnAOPVVSKnxyv-46e8cd20462f11e9bc6555b32b211b66
174,Bring me my shoes ,7NqqnAOPVVSKnxyv-47c32ac0463311e9bc6555b32b211b66
175,Turned the temperature up in the water em ,7NqqnAOPVVSKnxyv-4861d130463211e9bc6555b32b211b66
176,Start the music ,7NqqnAOPVVSKnxyv-48c03a50463111e9bc6555b32b211b66
177,Decrease sound levels ,7NqqnAOPVVSKnxyv-48dcfc00462f11e9bc6555b32b211b66
178,Give me my shoes ,7NqqnAOPVVSKnxyv-497f59b0463311e9bc6555b32b211b66
179,Turn up the heat in the wash room ,7NqqnAOPVVSKnxyv-4a78ca50463211e9bc6555b32b211b66
180,To laugh ,7NqqnAOPVVSKnxyv-4ac20fb0462f11e9bc6555b32b211b66
181,Turn on the lamp ,7NqqnAOPVVSKnxyv-4b13ee50463111e9bc6555b32b211b66
182,Bring shoes ,7NqqnAOPVVSKnxyv-4b1981b0463311e9bc6555b32b211b66
183,That's too loud ,7NqqnAOPVVSKnxyv-4caf60c0462f11e9bc6555b32b211b66
184,Turned the heat up in the wash room ,7NqqnAOPVVSKnxyv-4ccb6ce0463211e9bc6555b32b211b66
185,Bring my shoes ,7NqqnAOPVVSKnxyv-4ce0fb40463311e9bc6555b32b211b66
186,Switch on the lamp ,7NqqnAOPVVSKnxyv-4d7dc260463111e9bc6555b32b211b66
187,Far too loud ,7NqqnAOPVVSKnxyv-4e75a1d0462f11e9bc6555b32b211b66
188,Washroom heat up ,7NqqnAOPVVSKnxyv-4eca7130463211e9bc6555b32b211b66
189,Go get me my shoes ,7NqqnAOPVVSKnxyv-4ef8b7b0463311e9bc6555b32b211b66
190,Trimmed the lamp on ,7NqqnAOPVVSKnxyv-4f815a90463111e9bc6555b32b211b66
191,Make a quieter ,7NqqnAOPVVSKnxyv-504028a0462f11e9bc6555b32b211b66
192,Fetch my shoes ,7NqqnAOPVVSKnxyv-50aafb90463311e9bc6555b32b211b66
193,Increase the temperature in the water em ,7NqqnAOPVVSKnxyv-513e5760463211e9bc6555b32b211b66
194,Lampon ,7NqqnAOPVVSKnxyv-51ae25a0463111e9bc6555b32b211b66
195,It's too loud turned down ,7NqqnAOPVVSKnxyv-525ca000462f11e9bc6555b32b211b66
196,Allow a different language ,7NqqnAOPVVSKnxyv-52ad5b40463311e9bc6555b32b211b66
197,Increase the heating in the wash room ,7NqqnAOPVVSKnxyv-534f5d10463211e9bc6555b32b211b66
198,Turn off the lamp ,7NqqnAOPVVSKnxyv-53b08550463111e9bc6555b32b211b66
199,He's a different language ,7NqqnAOPVVSKnxyv-54872450463311e9bc6555b32b211b66
200,It's too loud turned the volume down ,7NqqnAOPVVSKnxyv-54a1fc20462f11e9bc6555b32b211b66
201,Turn out the bathroom temperature ,7NqqnAOPVVSKnxyv-55b07e90463211e9bc6555b32b211b66
202,Turned the lamp off ,7NqqnAOPVVSKnxyv-5616fe00463111e9bc6555b32b211b66
203,Changed a language ,7NqqnAOPVVSKnxyv-56312ad0463311e9bc6555b32b211b66
204,Increase the temperature ,7NqqnAOPVVSKnxyv-577e4110462f11e9bc6555b32b211b66
205,Swished the language ,7NqqnAOPVVSKnxyv-57f744d0463311e9bc6555b32b211b66
206,Turned the temperature up at the bathroom ,7NqqnAOPVVSKnxyv-583c80a0463211e9bc6555b32b211b66
207,Switched off the lamp ,7NqqnAOPVVSKnxyv-588e1880463111e9bc6555b32b211b66
208,Increase the heating ,7NqqnAOPVVSKnxyv-59718590462f11e9bc6555b32b211b66
209,Swish language ,7NqqnAOPVVSKnxyv-59b4ac40463311e9bc6555b32b211b66
210,Turn up the heat the bathroom ,7NqqnAOPVVSKnxyv-5a6d4350463211e9bc6555b32b211b66
211,Swiss languages ,7NqqnAOPVVSKnxyv-5b8aa4c0463311e9bc6555b32b211b66
212,Could you increased the heating ,7NqqnAOPVVSKnxyv-5bc5fce0462f11e9bc6555b32b211b66
213,Lamp off ,7NqqnAOPVVSKnxyv-5bec1090463111e9bc6555b32b211b66
214,Turned the heat up in the bathroom ,7NqqnAOPVVSKnxyv-5ca224b0463211e9bc6555b32b211b66
215,Changed system language ,7NqqnAOPVVSKnxyv-5d6901b0463311e9bc6555b32b211b66
216,Could you increase the heeding please ,7NqqnAOPVVSKnxyv-5e4d6b10462f11e9bc6555b32b211b66
217,Switched the lights on ,7NqqnAOPVVSKnxyv-5e7b46f0463111e9bc6555b32b211b66
218,Bathroom heat up ,7NqqnAOPVVSKnxyv-5e9e69e0463211e9bc6555b32b211b66
219,Open language settings ,7NqqnAOPVVSKnxyv-5f4cb5d0463311e9bc6555b32b211b66
220,Make it hotter ,7NqqnAOPVVSKnxyv-606093a0462f11e9bc6555b32b211b66
221,Increase the temperature in the bathroom ,7NqqnAOPVVSKnxyv-60faa960463211e9bc6555b32b211b66
222,Said the language ,7NqqnAOPVVSKnxyv-611f52f0463311e9bc6555b32b211b66
223,Turn on the kitchen lights ,7NqqnAOPVVSKnxyv-6135d310463111e9bc6555b32b211b66
224,More heat ,7NqqnAOPVVSKnxyv-624495e0462f11e9bc6555b32b211b66
225,Language settings ,7NqqnAOPVVSKnxyv-62e2add0463311e9bc6555b32b211b66
226,Switch on the kitchen lights ,7NqqnAOPVVSKnxyv-638fa190463111e9bc6555b32b211b66
227,He'd up ,7NqqnAOPVVSKnxyv-641de9c0462f11e9bc6555b32b211b66
228,Said languished the chinese ,7NqqnAOPVVSKnxyv-64e3d500463311e9bc6555b32b211b66
229,Tore out the temperature in the kitchen ,7NqqnAOPVVSKnxyv-66a11230462f11e9bc6555b32b211b66
230,Turned the lights on in the kitchen ,7NqqnAOPVVSKnxyv-66b4af50463111e9bc6555b32b211b66
231,Said languished the german ,7NqqnAOPVVSKnxyv-66f2dee0463311e9bc6555b32b211b66
232,Trimmed the kitchen temperature up ,7NqqnAOPVVSKnxyv-68e6e380462f11e9bc6555b32b211b66
233,So language to carry him ,7NqqnAOPVVSKnxyv-68ebefc0463311e9bc6555b32b211b66
234,Switched on the lights in the kitchen ,7NqqnAOPVVSKnxyv-6a036520463111e9bc6555b32b211b66
235,Said language to english ,7NqqnAOPVVSKnxyv-6aeacd00463311e9bc6555b32b211b66
236,White's on in the kitchen ,7NqqnAOPVVSKnxyv-6c2de640463111e9bc6555b32b211b66
237,Increase the temperature in the kitchen ,7NqqnAOPVVSKnxyv-6c4306d0462f11e9bc6555b32b211b66
238,Said my device to chinese ,7NqqnAOPVVSKnxyv-6cee6530463311e9bc6555b32b211b66
239,Kitchen lights on ,7NqqnAOPVVSKnxyv-6e708340463111e9bc6555b32b211b66
240,Increase the heating in the kitchen ,7NqqnAOPVVSKnxyv-6ea19040462f11e9bc6555b32b211b66
241,Look at us which the malay which the chinese ,7NqqnAOPVVSKnxyv-6f713f80463311e9bc6555b32b211b66
242,Switched the lights on in the kitchen ,7NqqnAOPVVSKnxyv-70a40510463111e9bc6555b32b211b66
243,Turn off the heat in the kitchen ,7NqqnAOPVVSKnxyv-70e31bd0462f11e9bc6555b32b211b66
244,Oh keenness which the main languish in german ,7NqqnAOPVVSKnxyv-71fccc60463311e9bc6555b32b211b66
245,Turned the heat up in the kitchen ,7NqqnAOPVVSKnxyv-733ee620462f11e9bc6555b32b211b66
246,Turned the kitchen lights on ,7NqqnAOPVVSKnxyv-73fbbb90463111e9bc6555b32b211b66
247,Oh can't asked where's the malay which occur in ,7NqqnAOPVVSKnxyv-7465dd20463311e9bc6555b32b211b66
248,Kitchen heat up ,7NqqnAOPVVSKnxyv-7544c840462f11e9bc6555b32b211b66
249,Turn on the lights in the bedroom ,7NqqnAOPVVSKnxyv-76516b60463111e9bc6555b32b211b66
250,Oh can't asked was the malay wished to english ,7NqqnAOPVVSKnxyv-76d44510463311e9bc6555b32b211b66
251,Turn off the temperature in the bedroom ,7NqqnAOPVVSKnxyv-77b9bfe0462f11e9bc6555b32b211b66
252,Turned the bedroom lights on ,7NqqnAOPVVSKnxyv-788191d0463111e9bc6555b32b211b66
253,Said my funds languished the chinese ,7NqqnAOPVVSKnxyv-792e1390463311e9bc6555b32b211b66
254,Turned the temperature in the bedroom up ,7NqqnAOPVVSKnxyv-7a247e50462f11e9bc6555b32b211b66
255,Switched on the lights in the bedroom ,7NqqnAOPVVSKnxyv-7b0d6cd0463111e9bc6555b32b211b66
256,So my father's languished the german ,7NqqnAOPVVSKnxyv-7b69f9d0463311e9bc6555b32b211b66
257,Turn out the bedroom heat ,7NqqnAOPVVSKnxyv-7c41e010462f11e9bc6555b32b211b66
258,Semi funds language to corene ,7NqqnAOPVVSKnxyv-7dc1f390463311e9bc6555b32b211b66
259,Turn the bedroom heat up ,7NqqnAOPVVSKnxyv-7e6c8840462f11e9bc6555b32b211b66
260,Switched the bedroom lights on ,7NqqnAOPVVSKnxyv-7e905200463111e9bc6555b32b211b66
261,Said my father's language to english ,7NqqnAOPVVSKnxyv-801ad7b0463311e9bc6555b32b211b66
262,Why it's on in the bedroom ,7NqqnAOPVVSKnxyv-80e390d0463111e9bc6555b32b211b66
263,And he practised my shyness which language ,7NqqnAOPVVSKnxyv-82bad6f0463311e9bc6555b32b211b66
264,Bedroom lights on ,7NqqnAOPVVSKnxyv-8310aa00463111e9bc6555b32b211b66
265,Turn on the washroom lights ,7NqqnAOPVVSKnxyv-8560db90463111e9bc6555b32b211b66
266,And he practised my germans for she'll language ,7NqqnAOPVVSKnxyv-856cb080463311e9bc6555b32b211b66
267,During the washroom lights on ,7NqqnAOPVVSKnxyv-877d2be0463111e9bc6555b32b211b66
268,And he prized smack her aunt's wish a language ,7NqqnAOPVVSKnxyv-881d2a80463311e9bc6555b32b211b66
269,Switch on the washroom lights ,7NqqnAOPVVSKnxyv-89b086a0463111e9bc6555b32b211b66
270,I need to practise my english swished language ,7NqqnAOPVVSKnxyv-8aacd610463311e9bc6555b32b211b66
271,Turn on the lights ,7NqqnAOPVVSKnxyv-8b863c90462711e9bc6555b32b211b66
272,Lights on the washroom ,7NqqnAOPVVSKnxyv-8b937770463111e9bc6555b32b211b66
273,During the washroom lights off ,7NqqnAOPVVSKnxyv-8cb21bf0463311e9bc6555b32b211b66
274,Washroom lights on ,7NqqnAOPVVSKnxyv-8d799c90463111e9bc6555b32b211b66
275,Turn off the lights ,7NqqnAOPVVSKnxyv-8d8f7a10462711e9bc6555b32b211b66
276,Change language ,7NqqnAOPVVSKnxyv-8f7773f0462711e9bc6555b32b211b66
277,Turn on the bathroom lights ,7NqqnAOPVVSKnxyv-8f8ee800463111e9bc6555b32b211b66
278,Bring newspaper ,7NqqnAOPVVSKnxyv-90f412c0463011e9bc6555b32b211b66
279,Caused the music ,7NqqnAOPVVSKnxyv-916cb440462711e9bc6555b32b211b66
280,Turned the bathroom lights on ,7NqqnAOPVVSKnxyv-918c65b0463111e9bc6555b32b211b66
281,Go get the newspaper ,7NqqnAOPVVSKnxyv-93350210463011e9bc6555b32b211b66
