,asr_transcript,uniqueId
288,Don't the flagged room off ,sample0288-1258
289,Turn the garden light up a notch ,sample0289-1259
290,Getting brought up the lights ordered ordeal ,sample0290-0126
291,Turn the kid's bedroom light read ,sample0291-1260
292,Turn the kitchen lights green ,sample0292-1261
293,Don the kitchen lights on bridle ,sample0293-1262
294,Turn the large meeting room grain ,sample0294-1263
295,Dawn the laundry room light two twenty two ,sample0295-1264
296,Though in the light and density to level thirty nine ,sample0296-1265
297,Turned the late on ,sample0297-1266
298,Turned the light on in the bedroom ,sample0298-1267
299,Turn the lad's intensity to twenty two per cent ,sample0299-1268
300,Turned the light blue ,sample0300-1269
301,Then he turned off the lights in the cellar ,sample0301-0127
302,Turn the lights down in the back yard ,sample0302-1270
303,Turn the lights down in the dining room ,sample0303-1271
304,Turn lights down in the living room ,sample0304-1272
305,Then the ladies green ,sample0305-1273
306,Don't the lights in the garden off ,sample0306-1274
307,Turned and lights in the large muniment peeg ,sample0307-1275
308,That in the lights in the waiting room two five ,sample0308-1276
309,Turned the light in the waiting room to thirty nine ,sample0309-1277
310,Turn the lights off ,sample0310-1278
311,Turn the lights off and the basement ,sample0311-1279
312,Here you turn out the lights in the parting room ,sample0312-0128
313,Turned the lights up in the dining room ,sample0313-1280
314,Turn the lights the off in the dining room ,sample0314-1281
315,Turn the lights off in the wanderer room ,sample0315-1282
316,Turned the lights off in the office ,sample0316-1283
317,Turn lights often shed ,sample0317-1284
318,Turn the lad's off in the toilet ,sample0318-1285
319,Then the lights off no ,sample0319-1286
320,Turn the lights off ,sample0320-1287
321,From the lights on ,sample0321-1288
322,Turned the light on above the toilet ,sample0322-1289
323,Can you turn off the lights please ,sample0323-0129
324,In the light on everywhere ,sample0324-1290
325,Colonel i don know department ,sample0325-1291
326,Colonel light on and the bedroom ,sample0326-1292
327,Turned the light run in and changing room ,sample0327-1293
328,Turned the light time in the kitchen ,sample0328-1294
329,Turned the light on in the meeting room ,sample0329-1295
330,Thar in the light son in the pantry ,sample0330-1296
331,Turned the lights on a small meeting room ,sample0331-1297
332,Turn the lights on in the studio ,sample0332-1298
333,Doin the light on now ,sample0333-1299
334,At just the brightness to level den ,sample0334-0013
335,Can you turn off the lights ,sample0335-0130
336,Turn the lights on pink ,sample0336-1300
337,Turned the lights on please ,sample0337-1301
338,During the nights on the kitchen ,sample0338-1302
339,Don't deny its on ,sample0339-1303
340,Turned the lights pink please ,sample0340-1304
341,Turn the lights red in the bedroom ,sample0341-1305
342,Turned the lights to a darker setting in the offices ,sample0342-1306
343,Turn the lights to hire setting ,sample0343-1307
344,Turned the lights to a lower setting ,sample0344-1308
345,Light still bu'n bow ,sample0345-1309
346,Can you turn on bathroom light ,sample0346-0131
347,Don't the lights up a notch in the salon ,sample0347-1311
348,Throwing the lights up a notch viz ,sample0348-1312
349,Turn the lights up in the entrance ,sample0349-1313
350,Tom the lights opened loo ,sample0350-1314
351,Turned the lights up in the studio ,sample0351-1315
352,Turned the lights up in the toilets ,sample0352-1316
353,Turn the living room lights up ,sample0353-1317
354,Turn to lounge lights read ,sample0354-1318
355,Turn thou patio light pink ,sample0355-1319
356,Can you down on the night ,sample0356-0132
357,Turn the studio lights on ,sample0357-1320
358,Turn the studio lights the thirty nine ,sample0358-1321
359,Turn the vestibule lights to too ,sample0359-1322
360,Turn the vestibule lights up ,sample0360-1323
361,Turn on the waiting room brightness to too ,sample0361-1324
362,It'll knights to seventy three ,sample0362-1325
363,Turned toilet room lights on ,sample0363-1326
364,Turn up the brightness ,sample0364-1327
365,Turn up the brightness and the changing room ,sample0365-1328
366,Turn up the lighting ,sample0366-1329
367,He turned to brighten astounded at the back yard ,sample0367-0133
368,Turn up the lights ,sample0368-1331
369,Turn out the lights in the selah ,sample0369-1332
370,Turn up the lion the kid's room ,sample0370-1333
371,Turn up the lights in the kitchen ,sample0371-1334
372,Turn of the lights in the pantry ,sample0372-1335
373,Turn up the lights in the archey ,sample0373-1336
374,Turn up the lights in the patio ,sample0374-1337
375,Dan of delight in dirt eyelids ,sample0375-1338
376,Carnac delights ,sample0376-1339
377,Then he turned the brightness to turn ,sample0377-0134
378,Turn up the lights ,sample0378-1340
379,Turn vestibule lighting on ,sample0379-1341
380,We have a large meeting realm i need some red lights in there ,sample0380-1342
381,We need the bulge stunned brighter in this room ,sample0381-1343
382,What do i need to do to get the dining room to fifty brightness ,sample0382-1344
383,Will you increased brightness please ,sample0383-1345
384,Will you make the entrance lights read for the afternoon ,sample0384-1346
385,Will you set the changing room two fifty brightness ,sample0385-1347
386,Won't you please turn down the brightness ,sample0386-1348
387,Would you please turn on the lights and my cubicle ,sample0387-1349
388,Can you tom broke the softened the bedroom ,sample0388-0135
389,What do you switch my kitchen leaden to arm ,sample0389-1350
390,What do you turn on my basement lights ,sample0390-1351
391,Would you turn on my basement lights ,sample0391-1352
392,A just brightness of lounge lights to a value of twenty two ,sample0392-1353
393,I'll lay itself ,sample0393-1354
394,All lights of please ,sample0394-1355
395,Basement light should be set a twelve ,sample0395-1356
396,They smelt lights should be turned on ,sample0396-1357
397,Bartram brightness told bondage do ,sample0397-1358
398,But the amiss do donec increase the brightness ,sample0398-1359
399,Can you done though ceylon laid down ,sample0399-0136
400,Bathroom lights off ,sample0400-1360
401,That broom brightness to to please ,sample0401-1361
402,Get home like down ,sample0402-1362
403,Boardroom is dark please turn on lots ,sample0403-1363
404,Bright light and kitchen ,sample0404-1364
405,Brightened up the cubicle ,sample0405-1365
406,Bring up the lights ,sample0406-1366
407,Can you give me some light please ,sample0407-1367
408,Can you give me some light please in the kitchen ,sample0408-1368
409,Can you give me some lights ,sample0409-1369
410,Could you turn to cubicle light twenty two ,sample0410-0137
411,Can you increase the brightness ,sample0411-1370
412,Can you increase the brightness and the laundry room ,sample0412-1371
413,Can you interest the brightness of the entire house ,sample0413-1372
414,Can you make the bedroom a little darker if possible ,sample0414-1373
415,Can you make the light go blue ,sample0415-1374
416,And you please turn out the light ,sample0416-1375
417,Penny turned down the lights in her ,sample0417-1376
418,Can you colonel of the summer life ,sample0418-1377
419,Can you trail of the house light ,sample0419-1378
420,The corner of the kid's bedroom light ,sample0420-1379
421,Can you turned the lights down one notch ,sample0421-0138
422,Can you dan the lights doe ,sample0422-1380
423,To endure light stooping color ,sample0423-1381
424,Change and set back god late to brightness had enough blood ,sample0424-1382
425,Jane to bedroom lighting two pink ,sample0425-1383
426,Chained braden without fillet tinder dialect to don deep but assent ,sample0426-1384
427,Changed their colour about their mites to peep ,sample0427-1385
428,Do you into the lot of get his laid stooping ,sample0428-1386
429,Changed lamp to pink ,sample0429-1387
430,Change listening to pink ,sample0430-1388
431,Changed lights to blue ,sample0431-1389
432,Then he turned the light sah ,sample0432-0139
433,Change lights the pink ,sample0433-1390
434,Seeing the again is laid slipping ,sample0434-1391
435,Change delights to pink ,sample0435-1392
436,Changed the bachelor liked to think ,sample0436-1393
437,Painted the borachio likes to green ,sample0437-1394
438,Jean spooning ,sample0438-1395
439,Changing when lights off please ,sample0439-1396
440,Close our lets him that could swarm ,sample0440-1397
441,Create more than bedroom turn lights the red ,sample0441-1398
442,Cut off the lotzen risked view ,sample0442-1399
443,Adjust the brightness to seventy three ,sample0443-0014
444,She didn't doll of the lad and lighting two glinted ,sample0444-0140
445,Dark in the light in the toilet ,sample0445-1400
446,Decrees brightness in cellar ,sample0446-1401
447,Dickory's brightness and the basement ,sample0447-1402
448,Douglas greatness of bathroom lights ,sample0448-1403
449,Increase brightness bees ,sample0449-1404
450,The gray slights and laundry roams through all the way off ,sample0450-1405
451,Decrease the light in the small meeting room ,sample0451-1406
452,Damn the basement ,sample0452-1407
453,Then the bedroom might ,sample0453-1408
454,Dimmed the board room ,sample0454-1409
455,Changed all the lights to fifty ,sample0455-0141
456,Dimmed the gates bedroom lights ,sample0456-1410
457,Dim the lights in the cubicle ,sample0457-1411
458,Dim the lights in the garden ,sample0458-1412
459,Dining room light at thirty nine ,sample0459-1413
460,Dining room lights at twenty two per cent ,sample0460-1414
461,Dining room lights off please ,sample0461-1415
462,Dining room needs to be at twelve per cent ,sample0462-1416
463,Not waste the lights decrease it please ,sample0463-1417
464,Double the brightness ,sample0464-1418
465,Entrance light level to ten ,sample0465-1419
466,Changed back yard lightning drooping things ,sample0466-0142
467,And to inflate two pink police ,sample0467-1420
468,Entrance should be let at intensity too ,sample0468-1421
469,Garage lights to read please ,sample0469-1422
470,Yet the dirt ,sample0470-1423
471,Get the lights on mouthpiece ,sample0471-1424
472,Every lights of the kitchen ,sample0472-1425
473,Green as what i would like to the lights to be right now ,sample0473-1426
474,Green lights in the leaving robe ,sample0474-1427
475,Green lights on in living room ,sample0475-1428
476,If it be less bright ,sample0476-1429
477,Chains child's bedroom to have red lights ,sample0477-0143
478,And it may turn down the lane ,sample0478-1430
479,Help me and on the late in the said lot ,sample0479-1431
480,Hey brighten the bedroom ,sample0480-1432
481,I cannot stand darkness turn at the brightness now ,sample0481-1433
482,I need light ,sample0482-1434
483,I need like thine into kendrew ,sample0483-1435
484,Meagre brighten up the meeting room ,sample0484-1436
485,Why mong the lot of meeting one will be loo ,sample0485-1437
486,I want to done the lids ,sample0486-1438
487,I want you to make the light the monarch ,sample0487-1439
488,Jane declared looping ,sample0488-0144
489,I would like the bess you will get some lightning ,sample0489-1440
490,Illuminates cellar ,sample0490-1441
491,Illuminated the kid's room ,sample0491-1442
492,In my kids bedroom changed the brightness to fifty ,sample0492-1443
493,In my kids room turn the lights off ,sample0493-1444
494,In the back yard the lights need to be bink ,sample0494-1445
495,Increased brightness in that long ,sample0495-1446
496,Increase brightness in the studio ,sample0496-1447
497,Increase the brightness of lights ,sample0497-1448
498,Great floating in the garage ,sample0498-1449
499,Changed kids room light to pink ,sample0499-0145
500,Increase the brightness ,sample0500-1450
501,Increase the brightness ink yet ,sample0501-1451
502,And increase debate ness in debasement ,sample0502-1452
503,Increase the brightness of entrance ,sample0503-1453
504,Increase the brightness of the garage ,sample0504-1454
505,Increased upbraid not after late ,sample0505-1455
506,Increase the brightness on the patio ,sample0506-1456
507,He hit botha little down down the late ,sample0507-1457
508,What is it possible to done down the light in the living room ,sample0508-1458
509,It's dark and here ,sample0509-1459
510,Change the laundry run lights to five please ,sample0510-0146
511,Getting so dark and here can you put the lights up ,sample0511-1460
512,To pretty bright and here is there a possibility you can turn like them ,sample0512-1461
513,It's pretty dark hair why don't ye turned the lights up ,sample0513-1462
514,So dark and here is turned up the lights just a little ,sample0514-1463
515,Twig to brighten here turned on the brightened it please ,sample0515-1464
516,Kids bedroom light student please ,sample0516-1465
517,He can lights or no ,sample0517-1466
518,Catch and no more lights ,sample0518-1467
519,Landed on brightness foe ,sample0519-1468
520,Laundry room laid son ,sample0520-1469
521,Changed like color to peep ,sample0521-0147
522,Laundry room lights to too ,sample0522-1470
523,Let there be light ,sample0523-1471
524,Laid both brightness ten per cent ,sample0524-1472
525,Bite on in the bathroom ,sample0525-1473
526,Why it up garage ,sample0526-1474
527,Lighting up in the loo ,sample0527-1475
528,Lights are off ,sample0528-1476
529,Lights at seventy three and the bedroom please ,sample0529-1477
530,Lights need brightened in the lounge ,sample0530-1478
531,Lights off changing room ,sample0531-1479
532,Richly inlaid colour duping ,sample0532-0148
533,Why it's off for entire house ,sample0533-1480
534,Light fountain in the garden ,sample0534-1481
535,Like bout'n the toilets ,sample0535-1482
536,Lights on ,sample0536-1483
537,John please they turn please ,sample0537-1484
538,Why it should be sat at level twenty two ,sample0538-1485
539,Why it's way down and small meeting room ,sample0539-1486
540,Living room lay itself ,sample0540-1488
541,We'll living room lights on for now please ,sample0541-1489
542,Changed the light level to twenty in the bedroom ,sample0542-0149
543,Lounged lights on please ,sample0543-1490
544,Lord gootes bedroom lights ,sample0544-1491
545,Lower lights brightness ,sample0545-1492
546,Nobody brightness ,sample0546-1493
547,Nor would the brightness of light buns ,sample0547-1494
548,Laura lightened the children's playroom ,sample0548-1495
549,Mere glutted gave the signal lights made colored ,sample0549-1496
550,Make all lights pink and color ,sample0550-1497
551,Make it darker in here ,sample0551-1498
552,Naked darker and the waiting room ,sample0552-1499
553,I've just the brightness to twenty two ,sample0553-0015
554,Translates and grudge the local five ,sample0554-0150
555,Make it less bright in the bedroom ,sample0555-1500
556,Make it later in here ,sample0556-1501
557,Make explored the lounged light you spink ,sample0557-1502
558,Make lay tread ,sample0558-1503
559,Make the night blue ,sample0559-1504
560,Make the light chord to pink ,sample0560-1505
561,Make the light pink ,sample0561-1506
562,Make the light red ,sample0562-1507
563,Make the lights go off ,sample0563-1508
564,Make the lights red in the office ,sample0564-1509
565,Change lights to blue ,sample0565-0151
566,Make the lights to level thirty two ,sample0566-1510
567,Make the living room lighter ,sample0567-1511
568,Make the studio lights brighter ,sample0568-1512
569,Modify brightness of living room laid by two seventy three ,sample0569-1513
570,Modify the colour of all light folds to pete ,sample0570-1514
571,Need light ,sample0571-1515
572,Need late in the kitchen ,sample0572-1516
573,No more light in here ,sample0573-1517
574,Pantry light level should be two per cent ,sample0574-1518
575,Bantry liked off ,sample0575-1519
576,Candidate to pink ,sample0576-0152
577,Pantry make it dark ,sample0577-1520
578,Parking lights on please ,sample0578-1521
579,Adieux lights please ,sample0579-1522
580,Patio lights turned on ,sample0580-1523
581,Being glides me a kitchen please ,sample0581-1524
582,But this brightened the lounge ,sample0582-1525
583,Please brighten up the dining room ,sample0583-1526
584,Please down the lights ,sample0584-1527
585,Please give me lights ,sample0585-1528
586,Please give me lights in the kitchen ,sample0586-1529
587,Changed lights to read ,sample0587-0153
588,Please give me some light ,sample0588-1530
589,Please give me some light in the kitchen ,sample0589-1531
590,Please increase the brightness ,sample0590-1532
591,Please increase the light brightness everywhere ,sample0591-1533
592,Please increase the meeting room brightness ,sample0592-1534
593,Aloof lord basemen lights ,sample0593-1535
594,Please make the light blue ,sample0594-1536
595,He's made the batu light read rum ,sample0595-1537
596,He leads from life ,sample0596-1538
597,Really some white in the kitchen ,sample0597-1539
598,Churlishly delights to pink for me ,sample0598-0154
599,Lay some like ,sample0599-1540
600,There is some white in the kitchen ,sample0600-1541
601,Lists reached the little fall lights greed ,sample0601-1542
602,Please switch lights off ,sample0602-1543
603,Please switch off lounge lights ,sample0603-1544
604,Plants which off the kitchen nights after you cook ,sample0604-1545
605,Please won't you off the studio light ,sample0605-1546
606,Please to increase the brightness it's too dark ,sample0606-1547
607,Please turn down the light for me ,sample0607-1548
